idx	true	pred	margin	text_head
91189	2	2	2.871902378426619e-05	i don t even think about using a different shampoo it s clear that eo products are developed through trial error by thoughtful people starting from gentle mild but also substantial ingredients they are definitely not the result of some corporate cosmetics laboratory process i use eo everday shampoo as prescribed every day and love it the gallon size is definitely not too big for a household
66552	2	2	6.34728324496129e-05	important ingredient in my granola bars about a year ago i started making my own granola bars i ve experimented with a lot of recipes but my family favorite is a pecan coconut toffee granola bar after making many batches my local grocery stores stopped carrying heath bits o brickle my family was not happy about this so i turned to amazon and found a great deal on a box of 12
22700	1	2	8.698343742705346e-05	this movie i couldn t believe i just loved the child s play series but this is a descrase to them number one in the beginning they show micheal myers halloween and jason s friday the 13th masks then they rip some guy s lip ring out how sick then tiffany gets transfered inside that doll o my god the good part is when the car blows up hell yeah if your looking for a real good movie get i know what you did last summer
62603	2	1	-0.00011037905900624506	pretty fire it was an interesting look at serious events through the innocent eyes of a child all performed by one woman
6617	2	1	-0.00012539950180136782	yum i love these but be warned they are caliente even though my lips turned red and my nose bleed from the first bag i went back for more and more and more there are awesome just not for the weak of taste buds
67931	1	1	-0.00014536895631384397	there are much better bks out there on this topic written by two authors with no apparent training in this genre specifically this work overly exaggerates family situations delivering negative messaging in its examples it reinforces gender stereotypes assumes parents are quite prudish at times and is heterosexist in places it does have some strengths however the work provides sample q a definitions and suggested activities it is also good at outlining where a child is at developmentally regardin
73348	1	1	-0.00015719571770791974	very short life in new beetle when one of the bulbs in my wife s new beetle burned out i replaced both low beams with these because of past positive experiences with hella s neither bulb lasted more than 6 months i put the used osram s syvania from the high beams back in and they both lasted over two more years these are not the hella lights of the past hella has moved the production from europe to india and the quality has suffered i put in 100w hella h1 s in the high beams they continue to wor
94538	1	1	-0.00016554732529073211	not good for diagnostic we just used this earlier today to our son and we got a reading of 104now that he is sleeping we used a cheaper armpit thermometer and we got 102out of curiosity we again used this exergen thermometer and got 104 5i therefore recommend having an extra armpit thermometer to diagnose your kid before calling the pediatrician this forehead thermometer should only be used for quick screening when the child is uncooperative
56354	2	2	0.00036893318808619777	high quality product my diagnosis has been chondromalacia and this is my second set of straps and have used these just for a couple of months after looking at the myriads of knee braces on amazon and elsewhere i decided to stay with the simplest ones these look like high quality ones that seem to fit very well better than my old local store ones only i may have bought a size smaller though i used their measurement guide as for pain mitigation that depends on so many other things e g strengthning
5559	1	1	-0.0003698280496109811	the fever is gone body language is nothing like the pop diva s previous work fever quel dommage out of 12 tracks only 2 or 3 at the most are enjoyable the other tracks seem to be inspired from really bad 80s music in some songs she even sounds like her sister dannii who astonished me by having a very well produced album neon nights i only hope that some songs will be remixed and have fabulous videos
96	2	2	0.00038984120487817187	s t coleridge not t s eliot excellent selection of poetry and poetry related essays by samuel taylor coleridge note previous reviewer seems to have confused coleridge with eliot coleridge did not write the waste land the hollow men or ash wednesday that is why those are not in this book he died in 1834
58686	1	2	0.0004226845152620687	should have believed the reviews i d like to apologize for doubting all the people who tried to warn us about the quality of this product as others have noted the instructions are lacking customer service is poor and most importantly the trolley is doomed to fail regardless of the rated weight limits my 11 year old daughter and her friends used this for 3 days before the plastic rollers wore out i will say that when working my children loved this item if you choose to purchase this item be prepa
73502	2	1	-0.00044785329454684157	warning if you love status quo american christianity don t buy this book if your desire in life is to go to church on sunday absorb a bible lesson and then go back to your comfortable life on monday morning don t read this book this is the story of how god taught a businessman that there is no separation between the secular and the spiritual realities of life everything belongs to god and he desires to use his children to advance his kingdom if they will only show the willingness to be used this
45977	2	2	0.00045459612732318133	please may i have some more i m very fond of these authors and tend to re read my collection of their books every year if you like space opera the liad universe is for you
46056	1	1	-0.0004723139036818362	nothing but problems i m very grateful that i read these reader reviews before i renewed my norton 2005 antivirus i do have me i thought all my problems were just me then i read that it s the combo of norton me all the problems people were describing were mine also systems freezes failed shutdowns error pop ups run out of ram frequently even though i installed more for months i couldn t run live update i couln t run scan disk or defrag i m afraid i spent most of the year trying to fix my compute
62339	2	2	0.00047859883035776193	extreme excitment we could not find the pack n play sheet in blue at any retail store so when we found them on amazon we are avid customers at an affordable price we were excited delivery was swift and product is quality merchandise always truct amazon
36749	1	1	-0.0005117365143654413	silverstone2 east main 11 inch skillet it was dirty but otherwise it is fine handle does not match others from same company
10952	2	1	-0.0005242907027953759	truvagal service a1 i ordered this as a wedding gift for a friend through truvagal sabatier knives are not readily available in australia my friends were thrilled with the knife set and i have nothing but praise for the prompt efficient and courteous service from debi at truvagal who even went to the trouble of putting in a personalised gift card
33552	2	1	-0.000581064367756734	good night this product works well but does not work nearly as well as unisom take either in the evening and in 30 60 mins i m ready to sleep this is much better than unisom in that there are no lasting effects the next day unisom leaves me groggy much of the next day
41866	2	2	0.000581142071919569	if i m dreaming all my life what a comeback ok i know that bowie never really disappeared from the scene but he s been foundering for some time this will hopefully signal th end of that period as it is a really good recording i m not sure how many people will find all the metaphors in here perhaps there aren t even supposed to be so many but i just kept finding them added many of the lyrics just fit my life right now and the questions i find myself asking more and more ie were we meant to last w
92512	1	2	0.0006050638069500808	the greeter i have two disappointments about this product 1 the sawing portion has teeth that are too fine and 2 i later saw a very similar saw at lowes with teeth which are more coarse and also the saw was at a better price
1742	1	1	-0.0006151632221657669	limited scope got a subscription for one free year when i subscribed to another magazine if you re into sportbikes it s fine if you re a cruiser rider you re all but forgotten
57904	2	1	-0.0006252471690530864	in the rain or in the snow got the got the funky flow this is the soundtrack to the classic playstationgame if features all the songs from the game plus all the instrumental music cues the songs most of which are rap songs are really cute and amusing the instrumentals are similarly cutesy and almost all of them are under a minute long a few are less than ten seconds long if you are a fan of this game i m sure you will enjoy the soundtrack
25481	1	2	0.0006321851171383237	they need to make this product more durable we were able to use this product maybe 4 times last season we pulled it out this year for the first time and a complete seam went out on the curved small slide for the cost of this we should have got much more use we took very good care of our slide and supervised to make sure it was used correctly when called company said we needed and extended warranty have not found out that you could have purchased an extended warranty
5285	1	2	0.0006325979149992486	arctic monkeys do they play on their own cd they sound totally different live on stage its just thrashing admittedly with some energy with no musicianship just like a lot of other underrehearsed bands and no distinct musical identity
